id,name,category,scope,cost,space,staff,pctOfTotal,illustration,effect,plugin
hydroponics_ring,Hydroponics Ring,Economy,flotilla,45000,60,40,0.09,,,
forge_vat,Forge-Vat,Economy,flotilla,40000,90,60,0.03,,,
fuel_still,Fuel Still,Economy,flotilla,35000,130,40,0.05,,,
guild_hall,Guild Hall,Economy,flotilla,25000,40,15,0.04,,,
bonded_hold,Bonded Hold,Capacity,flotilla,30000,70,10,0,,,
bonded_berths,Bonded Berths,Capacity,flotilla,30000,70,10,0,,,
chartroom,Chartroom,Fleet,fleet,20000,36,20,0.02,,,
quiet_running,Quiet Running,Fleet,fleet,25000,45,25,0.025,,,
civilian_band_watch,Civilian-Band Watch,Fleet,fleet,10000,36,15,0.02,,,
wayfinding_loft,Wayfinding Loft,Fleet,fleet,12000,42,20,0.02,,,
tug_cradles,Tug Cradles,Fleet,fleet,25000,45,25,0.025,,,
watch_officers,Elite Education,Fleet,fleet,50000,75,30,0,,,
militia_gunners,Militia Gunners,Combat,flotilla,55000,80,30,0.1,,,
damage_control_watch,Militia Engineers,Combat,flotilla,45000,80,30,0.05,,,
pride_of_home,Pride of Home,Combat,flotilla,15000,70,20,0.03,,,
round_the_clock_yards,Round-the-Clock Yards,Fleet,fleet,70000,63,40,0.03,,,
storm_rider_rig,Storm-Rider Rig,Combat,flotilla,15000,75,20,0,,,
long_ward,Long Ward,Fleet,fleet,15000,60,20,0,,,
levy_hall,Levy Hall,Fleet,fleet,25000,48,30,0.025,,,
harbor_days,Harbor Days,Fortune,flotilla,25000,75,25,0,,,
pursers_kickbacks,Trade Rebates,Fortune,flotilla,15000,70,20,0,,,
foundry_annex,Foundry Annex,Economy,flotilla,100000,90,50,0.1,,,
militia_dedication,Militia Dedication,Combat,flotilla,45000,60,30,0,,,
tinkering_facilities,Tinkering Facilities,Combat,flotilla,25000,55,25,0,,,
refinery,Refinery,Economy,flotilla,85000,90,50,0.02,,,
